grid_size 4, slip_prob 0.0, gamma 0.95, num_rollouts 11: perf_res = PerfAssessmentResponse(perf=0.8760954261363636, time_steps_used=40, time_limit_trunced=False, failed=False)
grid_size 4, slip_prob 0.1, gamma 0.95, num_rollouts 330: perf_res = PerfAssessmentResponse(perf=0.7483770705653543, time_steps_used=1256, time_limit_trunced=False, failed=False)
grid_size 4, slip_prob 0.2, gamma 0.95, num_rollouts 330: perf_res = PerfAssessmentResponse(perf=0.6753554203739275, time_steps_used=1355, time_limit_trunced=False, failed=False)
grid_size 4, slip_prob 0.25, gamma 0.95, num_rollouts 330: perf_res = PerfAssessmentResponse(perf=0.608282410360362, time_steps_used=1423, time_limit_trunced=False, failed=False)
grid_size 4, slip_prob 0.3, gamma 0.95, num_rollouts 330: perf_res = PerfAssessmentResponse(perf=0.5419491555183348, time_steps_used=1546, time_limit_trunced=False, failed=False)
grid_size 4, slip_prob 0.4, gamma 0.95, num_rollouts 330: perf_res = PerfAssessmentResponse(perf=0.46451615850048644, time_steps_used=2674, time_limit_trunced=False, failed=False)
grid_size 4, slip_prob 0.5, gamma 0.95, num_rollouts 330: perf_res = PerfAssessmentResponse(perf=0.3635324402746325, time_steps_used=5123, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.0, gamma 0.95, num_rollouts 53: perf_res = PerfAssessmentResponse(perf=0.7114328737769366, time_steps_used=421, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.1, gamma 0.95, num_rollouts 1590: perf_res = PerfAssessmentResponse(perf=0.5589503562023463, time_steps_used=13214, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.2, gamma 0.95, num_rollouts 1590: perf_res = PerfAssessmentResponse(perf=0.42394728995153647, time_steps_used=16695, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.25, gamma 0.95, num_rollouts 1590: perf_res = PerfAssessmentResponse(perf=0.3785148518969047, time_steps_used=19038, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.3, gamma 0.95, num_rollouts 1590: perf_res = PerfAssessmentResponse(perf=0.33293974146500677, time_steps_used=20701, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.4, gamma 0.95, num_rollouts 1590: perf_res = PerfAssessmentResponse(perf=0.2255916541180179, time_steps_used=34675, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.5, gamma 0.95, num_rollouts 1590: perf_res = PerfAssessmentResponse(perf=0.18316103299146785, time_steps_used=55887, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.0, gamma 0.95, num_rollouts 114: perf_res = PerfAssessmentResponse(perf=0.582859497255123, time_steps_used=1387, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.1, gamma 0.95, num_rollouts 3420: perf_res = PerfAssessmentResponse(perf=0.4804605921190322, time_steps_used=42437, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.2, gamma 0.95, num_rollouts 3420: perf_res = PerfAssessmentResponse(perf=0.3750808342471468, time_steps_used=42560, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.25, gamma 0.95, num_rollouts 3420: perf_res = PerfAssessmentResponse(perf=0.3227772014996532, time_steps_used=44249, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.3, gamma 0.95, num_rollouts 3420: perf_res = PerfAssessmentResponse(perf=0.2745181788715753, time_steps_used=46023, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.4, gamma 0.95, num_rollouts 3420: perf_res = PerfAssessmentResponse(perf=0.19501257771269145, time_steps_used=57105, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.5, gamma 0.95, num_rollouts 3420: perf_res = PerfAssessmentResponse(perf=0.1326956770986163, time_steps_used=63956, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.0, gamma 0.95, num_rollouts 203: perf_res = PerfAssessmentResponse(perf=0.4658014365034391, time_steps_used=3495, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.1, gamma 0.95, num_rollouts 6090: perf_res = PerfAssessmentResponse(perf=0.32140069102780444, time_steps_used=101106, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.2, gamma 0.95, num_rollouts 6090: perf_res = PerfAssessmentResponse(perf=0.20316810232879, time_steps_used=100158, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.25, gamma 0.95, num_rollouts 6090: perf_res = PerfAssessmentResponse(perf=0.15969982840178243, time_steps_used=109265, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.3, gamma 0.95, num_rollouts 6090: perf_res = PerfAssessmentResponse(perf=0.11922851434722334, time_steps_used=143856, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.4, gamma 0.95, num_rollouts 6090: perf_res = PerfAssessmentResponse(perf=0.06272566005933404, time_steps_used=160649, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.5, gamma 0.95, num_rollouts 6090: perf_res = PerfAssessmentResponse(perf=0.03234432311339448, time_steps_used=221327, time_limit_trunced=False, failed=False)
