grid_size 4, slip_prob 0.0, gamma 0.95, rolls_per_si 1, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.8760954261363636, time_steps_used=40, time_limit_trunced=False, failed=False)
grid_size 4, slip_prob 0.1, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.7380806419617058, time_steps_used=409, time_limit_trunced=False, failed=False)
grid_size 4, slip_prob 0.25, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.5850478663070259, time_steps_used=467, time_limit_trunced=False, failed=False)
grid_size 4, slip_prob 0.3, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.5379868690637107, time_steps_used=528, time_limit_trunced=False, failed=False)
grid_size 4, slip_prob 0.4, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.4771195778152453, time_steps_used=901, time_limit_trunced=False, failed=False)
grid_size 4, slip_prob 0.5, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.33833781687566816, time_steps_used=1641, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.0, gamma 0.95, rolls_per_si 1, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.7114328737769366, time_steps_used=421, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.1, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.5569630187802471, time_steps_used=4374, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.25, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.3828969133502227, time_steps_used=6418, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.3, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.3219929257526325, time_steps_used=7100, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.4, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.23960013987837867, time_steps_used=11887, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.5, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.1927532496548667, time_steps_used=18510, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.0, gamma 0.95, rolls_per_si 1, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.582859497255123, time_steps_used=1387, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.1, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.48778253587787196, time_steps_used=14378, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.25, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.32627485373693305, time_steps_used=14671, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.3, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.2695724008743454, time_steps_used=15010, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.4, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.20044976313153606, time_steps_used=19437, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.5, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.13382816826751284, time_steps_used=20963, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.0, gamma 0.95, rolls_per_si 1, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.4658014365034391, time_steps_used=3495, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.1, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.3206542833857323, time_steps_used=33642, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.25, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.15766079372603012, time_steps_used=36303, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.3, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.12216732800630667, time_steps_used=47438, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.4, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.06432675345339565, time_steps_used=52267, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.5, gamma 0.95, rolls_per_si 10, tl_mult None: perf_res = PerfAssessmentResponse(perf=0.03377156100743989, time_steps_used=72775, time_limit_trunced=False, failed=False)
